Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2020-01-02 00:00:00-05:00,72.15162917644504,73.21354606330681,71.89589621541523,73.15265655517578,135480400,0.0,0.0
2020-01-03 00:00:00-05:00,72.37325608568413,73.20865821725145,72.21494487689851,72.44145202636719,146322800,0.0,0.0
2020-01-06 00:00:00-05:00,71.55492083525495,73.05766982552089,71.30161838474463,73.0186996459961,118387200,0.0,0.0
2020-01-07 00:00:00-05:00,73.02842469606867,73.28659556330196,72.4536314242058,72.6752700805664,108872000,0.0,0.0
2020-01-08 00:00:00-05:00,72.37570571522127,74.14880789170621,72.37570571522127,73.8443603515625,132079200,0.0,0.0
2020-01-09 00:00:00-05:00,74.83076506815927,75.60771576093083,74.57747007429846,75.41287231445312,170108400,0.0,0.0
2020-01-10 00:00:00-05:00,75.64911655247727,76.15328339812156,75.07675376390527,75.5833511352539,140644800,0.0,0.0
2020-01-13 00:00:00-05:00,75.90242007069116,77.22493825091546,75.78307159421242,77.1981430053711,121532000,0.0,0.0
2020-01-14 00:00:00-05:00,77.1348238887686,77.34671816588178,76.03150641295814,76.15571594238281,161954400,0.0,0.0
2020-01-15 00:00:00-05:00,75.95357794356299,76.8425633227011,75.39338997946926,75.82936096191406,121923600,0.0,0.0
2020-01-16 00:00:00-05:00,76.37735896210343,76.89127025179725,76.01202193037072,76.77922821044922,108829200,0.0,0.0
2020-01-17 00:00:00-05:00,77.03008392773874,77.63167246899029,76.72076795180458,77.62924194335938,137816400,0.0,0.0
2020-01-21 00:00:00-05:00,77.25417710131444,77.69988505446139,76.96434243234067,77.1031723022461,110843200,0.0,0.0
2020-01-22 00:00:00-05:00,77.5926816673339,77.9360992387921,77.28336577364233,77.37835693359375,101832400,0.0,0.0
2020-01-23 00:00:00-05:00,77.43197715244196,77.8314084822973,76.8790956317594,77.75103759765625,104472000,0.0,0.0
2020-01-24 00:00:00-05:00,77.99945781587866,78.74961326542403,77.33454172918081,77.5269546508789,146537600,0.0,0.0
2020-01-27 00:00:00-05:00,75.517591596215,75.93407368792116,74.25596296162433,75.24724578857422,161940000,0.0,0.0
2020-01-28 00:00:00-05:00,76.1362441530333,77.548877800084,76.03638446553329,77.3759536743164,162234000,0.0,0.0
2020-01-29 00:00:00-05:00,79.02240834736268,79.85050418942753,78.27468338734941,78.99561309814453,216229200,0.0,0.0
2020-01-30 00:00:00-05:00,78.07007400248622,78.93470182527531,77.63410315378779,78.88111877441406,126743200,0.0,0.0
2020-01-31 00:00:00-05:00,78.16507249148941,78.59129902058262,75.08650302640976,75.3836441040039,199588400,0.0,0.0
2020-02-03 00:00:00-05:00,74.11469611343875,76.3529947185967,73.60809874601334,75.1766128540039,173788400,0.0,0.0
2020-02-04 00:00:00-05:00,76.79627274854717,77.8508830559026,76.38709709048423,77.6584701538086,136616400,0.0,0.0
